SKU_CODE,WD_TOWN_ID,SKU_ID,ACTIVE_FLAG,MAX(B.UNIT_PRICE),CNF_NAME,CNF_ID,WD_ID,TOWN,REGION
CIG0009371,1355936,2709349,Y,1531.26,GPIL_Chandigarh,154,3557384,SAMANA-4160011,CHANDIGARH BRANCH
CIG0002069,1557967,73141,Y,3543.45,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
SAVFBM1001,1557973,6333448,Y,,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3491366,BHANGEL-BHANGEL,DELHI BRANCH
CIG0002052,1368916,2248084,Y,6771.64,GPIL_Chandigarh,154,3569381,SOLAN-1635200,CHANDIGARH BRANCH
CIG0002624,1557967,6031228,Y,3235.94,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002078,149389,6319451,Y,5685.4,GPIL_Hyderabad_Rangareddy_Telangana,3812,2602229,LAKSHMI RAMANA AGENCIES MT-4040078,HYDERABAD BRANCH
CIG0002030,1470926,5531061,Y,2158.75,GPIL_Hyderabad_Rangareddy_Telangana,3812,3639380,VIKARABAD-4040119,HYDERABAD BRANCH
CIG0002021,808690,5198427,Y,6771.64,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,3152339,MAKRANA-0334100,AHEMDABAD BRANCH
CIG0002051,1557967,2248085,Y,6771.64,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0009377,1554967,3200604,Y,1750.32,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,3128342,BASSI-BASSI,AHEMDABAD BRANCH
CDICO1117,1170769,6211355,Y,71.45,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3400358,CHANDPUR-0173400,DELHI BRANCH
CIG0001115,1548989,6088244,Y,1075.89,GPIL_Hyd_Vijayawada_AP,4033,3703390,VIZAG MT-4040122,HYDERABAD BRANCH
CIG0002092,1309882,4190860,Y,1563.02,GPIL_Lucknow_UP,127,3521367,HARDOI SS-4010027,DELHI BRANCH
CIG0002001,1557967,730084,Y,6771.64,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0005518,893686,5637080,Y,2106.63,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3223342,DURGAPURI-0116702,DELHI BRANCH
CIG0002096,1468928,5551043,Y,3265.94,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3638380,DEBAI-0170800,DELHI BRANCH
CIG0002078,1496937,6319451,Y,5751.77,GPIL_Johala_Punjab,161,3662381,LUDHIANA III-4160013,CHANDIGARH BRANCH
CIG0002014,143740,1274080,Y,6381.69,GPIL_Chandigarh,154,2088223,MOHALI (MODERN TRADE)-1659200,CHANDIGARH BRANCH
CIG0005526,152732,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2669229,DAUSA-0324600,AHEMDABAD BRANCH
CIG0002030,1557967,5531061,Y,2796.6,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CDINEJ1117,3775,6210330,Y,316.731284,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,1814,HAPUR-0171100,DELHI BRANCH
CIG0002030,581625,5531061,Y,2158.75,GPIL_Hyderabad_Rangareddy_Telangana,3812,2997328,KARIMNAGAR-0489000,HYDERABAD BRANCH
CIG0005528,1436942,6212403,Y,2106.63,GPIL_Rohtak_Haryana,125,3613392,TAURU-0125900,DELHI BRANCH
CIG0005526,6149,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2325,GANGAPURCTY(B)-0324800,AHEMDABAD BRANCH
CIG0005526,391451,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2857284,BUNDI-0321500,AHEMDABAD BRANCH
CIG0002030,7396,5531061,Y,2158.75,GPIL_Hyderabad_Rangareddy_Telangana,3812,2819,SANGAREDDY-0487700,HYDERABAD BRANCH
CIG0002001,156171,730084,Y,6623.74,GPIL_Salem_TN,2369,2709305,PALANI-0469900,HYDERABAD BRANCH
CIG0002047,1530983,73138,Y,3884.83,GPIL_Haldwani_Uttaranchal,123,3692384,SITARGANJ-0181700,DELHI BRANCH
CIG0002037,1555997,6126376,Y,6771.64,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,3709391,CHURU-4030054,AHEMDABAD BRANCH
CIG0005526,1527981,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,3690389,BARAN-0321300,AHEMDABAD BRANCH
CIG0002001,17046,730084,Y,6381.69,GPIL_Rohtak_Haryana,125,4038,PALWAL-0121500,DELHI BRANCH
CIG0002051,17046,2248085,Y,6771.64,GPIL_Rohtak_Haryana,125,4038,PALWAL-0121500,DELHI BRANCH
CIG0001112,3948,6017083,Y,2609.26,GPIL_Lucknow_UP,127,1860,GORAKHPUR_1-0166901,DELHI BRANCH
CIG0005526,6147,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2394,BHARATPUR-0321900,AHEMDABAD BRANCH
CIG0002031,545524,5569023,Y,3278.16,GPIL_Cuttack_WB_India2,1470,2971297,JAJPUR TOWN-0651600,KOLKATA BRANCH
CIG0002014,56178,1274080,Y,6381.69,GPIL_Lucknow_UP,127,941025,FAIZABAD-0163800,DELHI BRANCH
CIG0002096,4413,5551043,Y,3265.94,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,1990,GULOATI-0175001,DELHI BRANCH
CIG0002017,439496,1436085,Y,6771.64,GPIL_ Nazafgarh_New_Delhi,3349,2899288,ROHINI N-0110307,DELHI BRANCH
CIG0005528,142775,6212403,Y,2106.63,GPIL_Chandigarh,154,3266,NALAGARH-1632900,CHANDIGARH BRANCH
CIG0005530,860698,6261472,Y,3096.48,GPIL_Chandigarh,154,3189346,SIMLA-1632000,CHANDIGARH BRANCH
CIG0005518,3777,5637080,Y,2106.63,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,1814,HAPUR-0171100,DELHI BRANCH
CDICOV1111,4404,6060219,Y,132.75,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,1986,AGRA 1-0160100,DELHI BRANCH
CIG0009378,1515959,3200614,Y,2235.85,GPIL_Pune_Maharastra,261,3681383,OSMANABAD-0214200,MUMBAI BRANCH
CIG0005526,6072,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2420,DEEG-0325600,AHEMDABAD BRANCH
CDICGA1112,1464927,6210334,Y,71.45,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3633380,TAGORE GARDEN-4010065,DELHI BRANCH
CIG0002638,487502,6172266,Y,3013.94,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,2931292,BAREILLY-0160300,DELHI BRANCH
CIG0002030,1432922,5531061,Y,2796.6,GPIL_Ahemdabad_Gujrat,141,3610381,AMRELI-0310900,AHEMDABAD BRANCH
CIG0002033,156171,5620057,Y,3754.82,GPIL_Salem_TN,2369,2709305,PALANI-0469900,HYDERABAD BRANCH
CIG0002010,1557967,778084,Y,6591.66,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002628,1557967,4834939,Y,3532.94,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0005526,133720,6168284,Y,2106.63,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,2231216,LALSOT N-0326500,AHEMDABAD BRANCH
CDICLA1116,1464927,6211359,Y,71.45,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,3633380,TAGORE GARDEN-4010065,DELHI BRANCH
CIG0002036,1557967,6126375,Y,6771.64,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002030,27049,5531061,Y,2158.75,GPIL_Hyderabad_Rangareddy_Telangana,3812,210023,NIZAMABAD-0488600,HYDERABAD BRANCH
CIG0005519,156171,5637081,Y,2166.63,GPIL_Salem_TN,2369,2709305,PALANI-0469900,HYDERABAD BRANCH
CIG0002101,1548989,5958214,Y,1053.76,GPIL_Hyd_Vijayawada_AP,4033,3703390,VIZAG MT-4040122,HYDERABAD BRANCH
CIG0002052,56178,2248084,Y,6771.64,GPIL_Lucknow_UP,127,941025,FAIZABAD-0163800,DELHI BRANCH
CIG0002020,1368916,5198426,Y,6771.64,GPIL_Chandigarh,154,3569381,SOLAN-1635200,CHANDIGARH BRANCH
CDICGM1112,4404,6279494,Y,128.04,GPIL_DEL_GOK_Om_Kiran_Log_UP,4114,1986,AGRA 1-0160100,DELHI BRANCH
CIG0002001,120821,730084,Y,6771.64,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,1908228,TODARAISING-TODARAISIN,AHEMDABAD BRANCH
CIG0002748,1557967,5720116,Y,1689.85,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0002078,140893,6319451,Y,5751.77,GPIL_Johala_Punjab,161,2447220,LUDHIANA 1-1655500,CHANDIGARH BRANCH
CIG0003111,1557967,73103,Y,3263.52,GPIL_Ahemdabad_Gujrat,141,3206343,AHMEDABAD SVM-4030005,AHEMDABAD BRANCH
CIG0005525,142775,6107261,Y,2106.63,GPIL_Chandigarh,154,3266,NALAGARH-1632900,CHANDIGARH BRANCH
CIG0002030,1554967,5531061,Y,2796.6,GPIL_Jaipur_Vishwakarma_Rajasthan,3953,3128342,BASSI-BASSI,AHEMDABAD BRANCH
